brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,rating,Number of Ratings,Number of Reviews,Price
Lenovo,Intel,M2,11,4.0,DDR4,,500.0,Windows,64,0,3,0,100,95409
MSI,Apple,Ryzen 7,12,4.0,DDR5,512.0,1000.0,Windows,64,2,1,0,0,109764
MSI,Apple,Ryzen 3,9,4.0,DDR4,512.0,1000.0,Windows,32,6,2,50,20,132385
HP,AMD,Ryzen 5,8,4.0,DDR3,256.0,0.0,Linux,32,2,1,1000,500,84647
Acer,Intel,i7,11,4.0,DDR3,128.0,0.0,MacOS,64,6,5,5000,20,131736
HP,AMD,M2,10,4.0,DDR4,0.0,0.0,Linux,32,4,5,0,0,108198
MSI,AMD,Ryzen 3,11,32.0,DDR5,0.0,500.0,Windows,32,2,2,100,20,178935
Asus,Apple,M1,13,16.0,DDR3,128.0,500.0,Linux,64,8,3,500,100,191760
MSI,Intel,M1,9,32.0,DDR3,512.0,1000.0,Linux,64,2,2,500,20,180980
Asus,Intel,Ryzen 5,8,16.0,DDR3,1024.0,0.0,Linux,64,6,3,500,0,168085
Dell,Intel,M2,9,32.0,DDR5,0.0,500.0,Linux,64,6,4,100,20,207500
MSI,Intel,M2,10,32.0,DDR4,128.0,1000.0,Windows,64,0,3,500,500,165617
Dell,AMD,Ryzen 5,10,4.0,DDR4,256.0,500.0,Linux,64,2,2,5000,500,98338
Acer,AMD,M2,8,4.0,DDR5,256.0,1000.0,Windows,64,8,2,500,500,138202
HP,Apple,Ryzen 7,13,16.0,DDR3,512.0,2000.0,Linux,32,4,3,50,500,173706
Asus,AMD,i5,12,16.0,DDR5,0.0,0.0,Windows,32,0,1,500,100,116046
HP,AMD,i5,11,4.0,DDR5,1024.0,2000.0,MacOS,32,2,3,50,500,120757
Dell,Apple,M2,11,32.0,DDR4,0.0,1000.0,Windows,32,0,4,50,500,169896
Asus,Apple,Ryzen 7,10,16.0,DDR5,256.0,1000.0,Windows,64,2,4,50,10,135929
HP,Apple,Ryzen 7,9,8.0,DDR5,0.0,0.0,MacOS,32,4,1,100,500,112418
MSI,AMD,i3,9,8.0,DDR3,256.0,0.0,MacOS,32,4,4,0,100,120320
Lenovo,AMD,i3,13,8.0,DDR3,128.0,1000.0,MacOS,32,8,2,1000,500,169941
Dell,Apple,i7,12,16.0,DDR4,128.0,500.0,MacOS,32,0,1,5000,20,122468
HP,Apple,i7,9,4.0,DDR3,256.0,0.0,MacOS,64,8,1,5000,500,135409
Dell,Apple,i7,11,4.0,DDR5,1024.0,1000.0,MacOS,32,2,1,500,50,114424
Apple,AMD,i7,9,4.0,DDR5,1024.0,0.0,Linux,64,4,3,1000,20,116388
Dell,AMD,Ryzen 5,12,16.0,DDR5,0.0,0.0,Linux,64,4,3,0,500,152154
Asus,Intel,Ryzen 5,11,16.0,DDR4,256.0,2000.0,MacOS,32,6,1,50,500,176387
Apple,AMD,i3,9,8.0,DDR3,512.0,2000.0,Windows,64,6,4,50,20,151186
Asus,AMD,i5,11,16.0,DDR5,1024.0,500.0,Windows,32,8,2,50,0,194500
Lenovo,AMD,Ryzen 7,10,8.0,DDR3,1024.0,0.0,MacOS,64,0,2,50,50,102564
Apple,Apple,M1,10,8.0,DDR3,128.0,1000.0,Linux,64,2,3,500,0,108034
MSI,AMD,i5,13,4.0,DDR3,1024.0,1000.0,Linux,64,8,5,0,500,174465
Dell,Apple,Ryzen 3,10,16.0,DDR3,1024.0,0.0,Windows,32,4,1,0,0,157044
HP,Intel,Ryzen 5,9,4.0,DDR4,1024.0,0.0,MacOS,32,4,5,0,100,119461
Acer,Intel,i7,12,4.0,DDR4,256.0,500.0,Linux,32,4,2,1000,10,120662
Dell,Apple,i7,11,16.0,DDR4,,500.0,MacOS,32,2,3,5000,20,137731
Dell,Apple,Ryzen 3,8,16.0,DDR5,128.0,500.0,MacOS,64,8,3,50,50,170099
Lenovo,Apple,i5,10,32.0,DDR5,0.0,1000.0,Windows,32,2,3,100,20,178080
MSI,AMD,i7,10,8.0,DDR5,1024.0,2000.0,MacOS,64,4,3,5000,0,144345
Acer,Intel,i5,8,32.0,DDR4,0.0,500.0,MacOS,64,6,3,0,10,202154
Apple,Apple,Ryzen 7,8,8.0,DDR3,256.0,1000.0,Windows,64,8,1,1000,0,148560
Apple,AMD,,9,8.0,DDR4,1024.0,500.0,Linux,64,6,5,500,20,148931
Apple,Intel,M1,11,8.0,DDR5,0.0,1000.0,MacOS,64,8,2,50,100,159029
Asus,AMD,i5,10,4.0,DDR5,0.0,0.0,Windows,64,4,2,1000,20,107216
Asus,Intel,Ryzen 7,12,4.0,DDR3,512.0,1000.0,Linux,64,6,3,5000,0,144789
HP,AMD,M2,9,16.0,DDR4,256.0,0.0,MacOS,64,6,3,100,50,157313
Acer,Intel,M2,9,8.0,DDR3,128.0,1000.0,Linux,64,8,3,100,50,152940
Apple,Intel,i5,12,8.0,DDR4,128.0,2000.0,Windows,64,6,4,500,50,154090
Asus,AMD,M2,12,8.0,DDR5,512.0,1000.0,MacOS,64,6,2,0,50,154767
HP,Apple,i5,13,4.0,DDR3,0.0,0.0,Windows,32,4,3,0,50,120244
MSI,Intel,i7,12,16.0,DDR3,512.0,,Windows,64,8,5,1000,500,203151
HP,Apple,i3,8,4.0,DDR4,512.0,1000.0,MacOS,32,8,4,5000,10,145950
Asus,AMD,M2,10,32.0,DDR4,256.0,1000.0,Windows,32,0,1,1000,10,166775
Lenovo,Apple,Ryzen 5,13,32.0,DDR4,1024.0,500.0,Linux,64,8,4,5000,100,253739
Lenovo,Apple,i5,8,32.0,DDR5,0.0,2000.0,Windows,64,4,4,0,50,193245
Apple,Apple,i5,13,16.0,DDR4,128.0,0.0,MacOS,64,6,4,0,0,175593
Lenovo,Apple,i5,10,32.0,DDR5,128.0,2000.0,MacOS,64,0,5,1000,0,171717
Apple,Apple,i3,13,16.0,DDR4,512.0,,Linux,32,6,2,50,20,179426
Apple,Intel,Ryzen 7,8,4.0,DDR4,512.0,,MacOS,32,8,3,5000,50,141677
Asus,Intel,M2,11,4.0,DDR5,512.0,500.0,Windows,64,2,5,5000,0,106631
Lenovo,Intel,M1,10,16.0,DDR4,0.0,0.0,Windows,32,6,5,100,500,160923
Apple,AMD,M1,9,4.0,DDR5,,0.0,MacOS,64,8,3,100,100,142151
Acer,Apple,Ryzen 3,10,,DDR5,512.0,0.0,Linux,64,4,4,500,0,114324
MSI,Intel,i7,10,16.0,DDR4,1024.0,500.0,Linux,64,8,1,100,500,191339
HP,AMD,i3,10,32.0,DDR4,0.0,2000.0,MacOS,32,0,4,5000,500,168321
HP,Intel,Ryzen 7,11,16.0,DDR3,256.0,500.0,Windows,32,2,4,1000,100,140274
Asus,Intel,i5,8,8.0,DDR4,256.0,1000.0,MacOS,32,2,2,50,50,104706
Lenovo,Apple,Ryzen 7,9,4.0,DDR3,1024.0,500.0,MacOS,64,2,4,1000,20,107083
Lenovo,AMD,i3,8,16.0,DDR4,,1000.0,Linux,32,4,1,0,20,141815
Apple,Apple,i3,13,4.0,DDR5,256.0,1000.0,Windows,64,2,5,5000,10,112908
Dell,Apple,i3,13,32.0,DDR5,0.0,500.0,Linux,64,6,4,0,50,223567
Apple,Intel,Ryzen 3,13,4.0,DDR3,128.0,500.0,Linux,32,4,5,5000,0,123743
MSI,Apple,,8,16.0,DDR4,512.0,500.0,Windows,64,8,2,100,20,176639
Acer,AMD,i7,12,32.0,DDR3,0.0,2000.0,Windows,64,0,1,50,500,176332
HP,Apple,Ryzen 3,11,32.0,DDR4,128.0,500.0,Windows,64,4,3,5000,100,198662
Apple,Apple,Ryzen 3,12,32.0,DDR4,256.0,0.0,MacOS,64,0,3,500,500,171507
Dell,Apple,M2,13,8.0,DDR5,512.0,500.0,Windows,32,4,2,1000,100,140274
Dell,Intel,Ryzen 5,11,16.0,DDR3,,1000.0,MacOS,64,8,1,500,0,188324
Apple,AMD,Ryzen 3,8,16.0,DDR5,0.0,2000.0,Linux,64,0,5,500,0,116844
Asus,Intel,i3,13,32.0,DDR5,512.0,,Windows,64,4,2,500,50,219391
HP,Intel,i3,8,4.0,DDR5,128.0,1000.0,MacOS,32,0,4,500,0,75600
Asus,Intel,M2,11,32.0,DDR3,1024.0,2000.0,MacOS,64,2,5,1000,0,205200
Acer,Intel,Ryzen 7,8,8.0,DDR4,256.0,2000.0,MacOS,64,2,4,0,0,108142
Dell,Intel,i5,8,32.0,DDR4,0.0,0.0,MacOS,32,2,4,1000,20,169261
Dell,AMD,Ryzen 3,9,16.0,DDR3,1024.0,0.0,Linux,64,6,5,0,50,172306
MSI,Apple,i5,12,32.0,DDR4,1024.0,2000.0,Windows,32,2,4,0,0,208131
Acer,Intel,i7,12,4.0,DDR3,0.0,500.0,Windows,64,2,3,1000,0,103260
Dell,Intel,M1,12,16.0,DDR3,128.0,2000.0,Windows,32,8,5,1000,500,195903
Acer,AMD,i3,10,,DDR4,256.0,0.0,Windows,64,0,2,1000,500,78746
HP,AMD,Ryzen 7,9,32.0,DDR5,0.0,2000.0,Windows,32,0,3,5000,100,165624
Lenovo,Apple,i7,13,16.0,DDR3,1024.0,500.0,Windows,32,2,2,0,20,154723
Dell,AMD,M2,13,8.0,DDR3,1024.0,500.0,MacOS,64,0,1,1000,0,113195
MSI,Apple,Ryzen 7,13,16.0,DDR3,0.0,0.0,Windows,64,4,2,50,20,153878
HP,Intel,M1,12,4.0,DDR3,1024.0,2000.0,MacOS,32,2,5,100,50,127651
Apple,Intel,M1,12,16.0,DDR4,0.0,0.0,Linux,64,2,2,100,50,133852
Acer,Apple,M2,9,8.0,DDR4,0.0,1000.0,MacOS,64,6,1,50,500,132659
Apple,AMD,Ryzen 5,8,8.0,DDR3,256.0,0.0,Linux,32,4,4,100,10,115840
Asus,Apple,M2,12,8.0,DDR5,0.0,0.0,Windows,32,2,5,0,100,111611
HP,AMD,i3,13,8.0,DDR4,1024.0,,Linux,64,2,3,1000,10,129502
Apple,Intel,i7,8,4.0,DDR5,512.0,2000.0,Linux,64,0,3,1000,20,86372
Dell,AMD,Ryzen 5,12,16.0,DDR5,256.0,1000.0,MacOS,64,2,2,5000,100,141743
Acer,Apple,,11,32.0,DDR3,1024.0,2000.0,MacOS,64,2,3,1000,500,204489
Lenovo,Apple,i7,10,8.0,DDR4,1024.0,,Linux,32,2,1,50,0,117896
HP,Intel,Ryzen 7,12,32.0,DDR3,256.0,1000.0,Linux,32,2,3,50,500,190808
Dell,AMD,Ryzen 5,11,32.0,DDR3,256.0,0.0,Windows,32,6,2,0,500,213796
MSI,AMD,Ryzen 5,9,16.0,DDR5,1024.0,0.0,MacOS,32,4,3,50,100,154885
Asus,AMD,i3,11,32.0,DDR5,512.0,0.0,Linux,64,6,4,5000,100,220026
Acer,Intel,M2,9,32.0,DDR5,128.0,2000.0,MacOS,32,0,4,1000,50,168059
HP,AMD,i5,12,4.0,DDR3,1024.0,500.0,Windows,32,8,3,5000,10,163609
HP,Apple,Ryzen 7,9,32.0,DDR3,256.0,1000.0,Windows,64,2,5,0,50,182583
,AMD,Ryzen 7,11,16.0,DDR3,0.0,1000.0,Linux,64,0,3,0,50,121761
Lenovo,Intel,M2,10,32.0,DDR3,0.0,2000.0,Windows,32,8,4,1000,10,234769
MSI,AMD,Ryzen 5,8,16.0,DDR3,256.0,500.0,Linux,64,2,4,500,50,125639
Asus,AMD,Ryzen 5,8,8.0,DDR3,256.0,1000.0,MacOS,32,2,1,1000,100,100143
MSI,Apple,i3,10,32.0,DDR3,128.0,2000.0,MacOS,64,8,2,0,20,234835
Dell,AMD,i5,13,32.0,DDR3,256.0,500.0,Linux,64,6,1,500,0,224174
Dell,Apple,Ryzen 7,8,32.0,DDR4,0.0,,Linux,32,8,5,1000,0,219360
MSI,Apple,M1,12,8.0,DDR4,512.0,1000.0,Linux,64,8,2,1000,50,172024
Asus,Intel,Ryzen 3,13,4.0,DDR4,256.0,1000.0,MacOS,32,4,3,500,10,129323
,Apple,Ryzen 3,12,32.0,DDR4,128.0,500.0,MacOS,32,2,3,500,100,185455
Asus,Apple,i5,11,16.0,DDR3,512.0,1000.0,Windows,32,2,5,100,50,144101
Asus,Intel,i7,11,4.0,DDR3,128.0,2000.0,Windows,64,6,4,5000,100,141469
Apple,Apple,i3,13,4.0,DDR5,512.0,500.0,MacOS,32,6,3,500,100,144705
Acer,Intel,i5,13,4.0,DDR5,256.0,1000.0,MacOS,32,4,1,50,500,126225
Asus,AMD,M2,13,32.0,DDR4,0.0,1000.0,Linux,32,4,4,500,0,209629
Lenovo,Intel,M2,13,8.0,DDR5,512.0,2000.0,MacOS,32,4,3,0,20,147307
Asus,Apple,Ryzen 3,9,8.0,DDR4,1024.0,1000.0,MacOS,32,6,4,500,20,151793
Asus,Intel,Ryzen 5,13,32.0,DDR3,128.0,1000.0,Windows,32,8,2,1000,10,239382
Asus,Apple,Ryzen 3,13,16.0,DDR3,512.0,1000.0,Windows,64,2,3,50,20,153264
Apple,AMD,Ryzen 5,11,16.0,DDR5,128.0,0.0,Linux,32,2,3,500,50,131000
Apple,Intel,i3,12,16.0,DDR3,0.0,2000.0,Windows,64,0,4,50,0,129502
Dell,AMD,Ryzen 5,11,32.0,DDR3,128.0,2000.0,Linux,64,6,2,5000,0,221329
Apple,Apple,i5,8,8.0,DDR4,128.0,0.0,MacOS,32,6,1,100,100,125339
Lenovo,Apple,,9,32.0,DDR5,1024.0,2000.0,MacOS,64,4,2,50,50,212871
Lenovo,AMD,i7,9,8.0,DDR3,128.0,1000.0,Linux,64,0,1,1000,50,88002
Apple,Intel,,12,4.0,DDR5,512.0,1000.0,Windows,32,0,5,100,100,98622
MSI,Intel,i5,13,32.0,DDR3,128.0,1000.0,Windows,64,6,2,500,500,223714
Acer,Apple,M2,11,8.0,DDR4,256.0,2000.0,MacOS,32,4,1,5000,500,135388
Apple,AMD,i3,8,4.0,DDR3,128.0,2000.0,Windows,64,2,4,5000,100,95650
Asus,AMD,i5,11,4.0,DDR5,256.0,500.0,Linux,32,4,1,5000,0,113523
HP,Intel,i7,13,32.0,DDR5,128.0,0.0,MacOS,64,2,5,50,50,189477
Acer,Intel,i3,13,8.0,DDR4,128.0,2000.0,Windows,32,6,1,100,20,156091
Acer,Intel,Ryzen 3,10,4.0,DDR3,512.0,500.0,MacOS,32,4,2,500,20,116222
Lenovo,AMD,i7,11,32.0,DDR4,256.0,0.0,MacOS,64,0,1,5000,0,164127
Acer,Intel,i3,12,4.0,DDR5,256.0,0.0,Windows,32,8,2,5000,20,151516
Apple,Intel,M1,11,16.0,DDR4,1024.0,1000.0,Linux,32,0,5,5000,20,136199
Asus,Apple,Ryzen 5,9,32.0,DDR3,128.0,1000.0,Windows,64,2,1,5000,50,177480
Asus,Intel,i5,8,4.0,DDR3,128.0,500.0,Windows,32,6,1,500,50,119117
Dell,Intel,i3,12,32.0,DDR4,512.0,500.0,Windows,32,4,5,50,10,211062
Asus,AMD,i5,10,32.0,DDR5,1024.0,1000.0,Windows,64,6,1,5000,50,223641
Asus,AMD,Ryzen 5,8,8.0,DDR5,1024.0,1000.0,Windows,64,6,2,5000,10,144974
Lenovo,Apple,i3,8,8.0,DDR4,512.0,0.0,Windows,64,2,3,50,500,102929
Asus,Intel,Ryzen 3,9,4.0,DDR3,256.0,0.0,Linux,64,6,3,100,50,121413
Dell,Apple,M1,9,32.0,DDR3,0.0,2000.0,MacOS,64,4,2,50,100,197677
HP,AMD,M1,9,32.0,DDR3,512.0,1000.0,Linux,64,0,1,500,50,164096
Apple,Apple,i7,12,16.0,DDR3,256.0,0.0,Windows,32,6,2,1000,10,168156
Lenovo,AMD,i3,11,32.0,DDR5,1024.0,500.0,Linux,64,4,5,100,20,216159
HP,Apple,Ryzen 5,8,8.0,DDR3,512.0,0.0,MacOS,64,4,2,1000,50,118643
Lenovo,Apple,i3,11,32.0,DDR4,0.0,1000.0,Linux,64,2,3,5000,20,183091
MSI,Intel,i5,11,8.0,DDR4,128.0,0.0,Windows,32,6,4,1000,20,140902
Acer,Apple,Ryzen 7,9,16.0,DDR4,512.0,1000.0,MacOS,32,2,5,500,50,138524
MSI,Intel,M2,11,4.0,DDR4,0.0,0.0,Windows,32,0,1,1000,50,78885
Asus,Intel,i3,8,8.0,DDR3,0.0,,Windows,64,0,2,0,100,87503
HP,Intel,M1,8,4.0,DDR5,512.0,2000.0,MacOS,32,4,5,100,500,117356
Asus,Intel,M1,13,4.0,DDR3,256.0,500.0,MacOS,32,6,3,500,10,140464
Acer,Apple,M2,10,4.0,DDR5,512.0,500.0,Windows,32,4,1,50,50,115470
Lenovo,AMD,M1,12,,DDR3,1024.0,1000.0,Linux,32,6,2,500,20,149473
Acer,AMD,Ryzen 3,11,8.0,DDR5,0.0,1000.0,MacOS,64,2,2,50,20,110972
Dell,AMD,i3,12,16.0,DDR4,0.0,1000.0,Linux,64,0,1,500,50,122948
Acer,Apple,,12,32.0,DDR4,128.0,0.0,Linux,64,0,4,0,10,171591
Dell,Intel,i3,12,8.0,DDR5,,0.0,MacOS,64,2,4,100,500,110126
Acer,AMD,Ryzen 7,13,16.0,DDR5,128.0,0.0,Linux,64,8,5,5000,20,189538
Apple,Apple,M1,12,32.0,DDR5,0.0,500.0,MacOS,64,8,2,5000,500,231333
Dell,Intel,i5,13,4.0,DDR4,0.0,1000.0,MacOS,32,8,5,1000,500,157422
,AMD,M1,8,32.0,DDR4,512.0,0.0,MacOS,64,6,1,500,100,206053
Asus,Intel,i3,11,32.0,DDR3,512.0,500.0,MacOS,64,2,5,100,20,192745
Asus,AMD,Ryzen 3,13,16.0,DDR5,1024.0,2000.0,Linux,64,6,2,100,10,196407
MSI,AMD,Ryzen 5,10,32.0,DDR5,256.0,1000.0,Linux,64,6,4,100,0,215595
Asus,AMD,i3,12,4.0,DDR5,1024.0,2000.0,MacOS,64,2,4,100,100,127128
Lenovo,Intel,i3,10,8.0,DDR4,0.0,500.0,MacOS,32,6,1,100,100,134275
Apple,Apple,i7,8,8.0,DDR5,1024.0,1000.0,MacOS,32,2,3,1000,0,116852
Acer,Intel,Ryzen 3,8,16.0,DDR5,512.0,0.0,MacOS,32,8,5,5000,100,176316
MSI,AMD,Ryzen 7,9,4.0,DDR4,0.0,500.0,Windows,32,8,1,1000,100,137336
Lenovo,Intel,Ryzen 5,12,4.0,DDR5,,2000.0,Linux,32,6,4,500,100,143213
Lenovo,Apple,M1,9,32.0,DDR3,1024.0,2000.0,Linux,64,0,2,5000,20,181332
Dell,Intel,i5,10,16.0,DDR4,128.0,2000.0,MacOS,32,2,2,5000,20,138220
Asus,Apple,i3,11,4.0,DDR4,256.0,500.0,Windows,32,4,3,50,50,115412
HP,Apple,Ryzen 7,9,4.0,DDR4,1024.0,500.0,Windows,64,4,3,500,50,122145
HP,Intel,Ryzen 5,8,4.0,DDR3,1024.0,1000.0,Windows,32,6,4,100,20,134738
MSI,AMD,i5,12,8.0,DDR4,256.0,1000.0,MacOS,32,0,3,50,100,104186
Apple,Apple,Ryzen 7,10,8.0,DDR4,0.0,,Windows,64,2,3,5000,10,113992
HP,Intel,Ryzen 3,13,8.0,DDR4,0.0,500.0,MacOS,64,8,2,500,0,165950
Acer,Apple,Ryzen 3,8,32.0,DDR4,128.0,1000.0,Windows,64,6,5,50,50,206411
HP,AMD,Ryzen 5,13,32.0,DDR3,1024.0,500.0,MacOS,32,2,2,5000,100,202543
MSI,Intel,M1,11,32.0,DDR5,256.0,0.0,MacOS,32,2,2,1000,50,181815
HP,Intel,M2,12,4.0,DDR5,1024.0,500.0,Linux,32,2,4,100,500,116163
Acer,Intel,i5,11,8.0,DDR4,512.0,2000.0,MacOS,64,0,4,50,10,111677
Dell,AMD,Ryzen 3,11,4.0,DDR3,1024.0,500.0,Windows,32,2,5,0,500,114812
Apple,Apple,M2,12,4.0,DDR4,1024.0,2000.0,Linux,32,0,1,100,100,107929
MSI,Intel,Ryzen 5,12,16.0,DDR5,512.0,1000.0,Windows,32,0,3,1000,20,133493
Dell,Apple,Ryzen 3,13,4.0,DDR5,512.0,1000.0,MacOS,32,2,3,1000,10,115649
Dell,Apple,Ryzen 3,11,32.0,DDR3,256.0,1000.0,Linux,64,8,2,500,50,234100
Dell,AMD,Ryzen 7,10,8.0,DDR5,0.0,0.0,MacOS,64,2,2,5000,100,103301
Lenovo,Intel,M2,13,8.0,DDR4,128.0,2000.0,MacOS,64,8,5,0,500,175950
Apple,Apple,Ryzen 7,12,4.0,DDR3,512.0,0.0,Windows,64,6,3,50,100,138410
Asus,Intel,Ryzen 3,8,32.0,DDR5,0.0,0.0,Windows,32,4,2,500,0,180255
,Intel,M2,13,32.0,DDR4,256.0,1000.0,Windows,64,6,2,1000,0,226034
Lenovo,AMD,i7,9,32.0,DDR3,1024.0,2000.0,Linux,32,0,4,50,500,182983
Asus,Intel,M2,10,8.0,DDR4,256.0,500.0,Windows,64,6,1,1000,0,140699
Apple,Intel,Ryzen 7,13,32.0,DDR5,256.0,500.0,MacOS,64,4,5,1000,20,213151
Dell,Apple,i5,12,32.0,DDR4,512.0,2000.0,Linux,32,4,1,0,100,212913
MSI,AMD,Ryzen 5,12,4.0,DDR3,128.0,500.0,Windows,32,8,1,100,100,150340
Asus,Intel,Ryzen 5,10,16.0,DDR4,512.0,1000.0,Windows,64,6,5,50,50,173398
Acer,Apple,M1,9,32.0,DDR5,1024.0,1000.0,Windows,32,0,3,0,20,173852
Acer,AMD,i5,13,4.0,DDR3,512.0,0.0,MacOS,64,0,2,5000,0,94962
HP,AMD,i5,13,4.0,DDR3,1024.0,1000.0,Windows,32,8,5,1000,100,173374
Asus,Apple,i5,11,32.0,DDR5,512.0,500.0,MacOS,64,8,2,1000,0,238113
MSI,Apple,M1,8,16.0,DDR4,128.0,0.0,Linux,64,6,4,0,10,155358
Lenovo,Apple,i5,12,8.0,DDR4,0.0,2000.0,Windows,64,8,1,5000,20,165228
Dell,Apple,i3,13,16.0,DDR5,128.0,2000.0,MacOS,64,4,4,50,0,166264
HP,Apple,M1,13,32.0,DDR3,512.0,0.0,Windows,32,0,1,1000,20,176470
Acer,Intel,Ryzen 5,13,16.0,DDR5,256.0,1000.0,Windows,32,4,3,5000,500,163964
Lenovo,Intel,i3,9,4.0,DDR3,0.0,0.0,Linux,64,2,5,50,100,90531
Lenovo,AMD,M1,8,4.0,DDR3,256.0,0.0,Linux,64,4,3,0,10,101104
Dell,Intel,Ryzen 3,13,16.0,DDR4,128.0,1000.0,MacOS,64,0,1,1000,50,129495
Asus,Intel,Ryzen 3,10,8.0,DDR5,0.0,2000.0,MacOS,32,2,4,500,10,112743
Acer,Intel,Ryzen 5,12,16.0,DDR3,512.0,0.0,MacOS,64,6,1,500,20,172352
MSI,Apple,Ryzen 3,11,32.0,DDR4,256.0,2000.0,Linux,32,2,3,1000,10,194487
Lenovo,AMD,i5,10,8.0,DDR5,512.0,500.0,MacOS,32,8,3,100,100,161472
Dell,AMD,M1,12,16.0,DDR5,1024.0,1000.0,Linux,64,0,4,1000,20,138788
MSI,AMD,i3,9,16.0,DDR3,0.0,500.0,Linux,32,8,4,1000,20,175662
Asus,AMD,i5,8,8.0,DDR3,256.0,2000.0,Windows,64,4,3,1000,100,125332
Acer,Intel,,8,16.0,DDR3,128.0,500.0,Windows,64,6,1,0,500,152676
Asus,Intel,Ryzen 7,12,32.0,DDR5,128.0,500.0,MacOS,32,0,1,1000,0,170330
Lenovo,Apple,M2,10,4.0,DDR3,128.0,500.0,Linux,32,6,5,1000,50,127873
MSI,AMD,i3,11,32.0,DDR5,128.0,0.0,Linux,64,0,3,0,500,163268
MSI,Intel,,9,16.0,DDR4,256.0,0.0,Linux,32,8,5,1000,500,178005
MSI,Intel,M1,12,4.0,DDR5,1024.0,1000.0,Windows,32,4,3,500,10,133781
Lenovo,Apple,Ryzen 5,9,8.0,DDR3,128.0,2000.0,Linux,32,2,5,500,500,113682
Lenovo,Apple,i5,8,32.0,DDR5,128.0,2000.0,MacOS,64,6,2,5000,50,210457
Asus,Apple,Ryzen 7,13,8.0,DDR3,128.0,1000.0,MacOS,64,0,1,1000,50,102605
HP,Intel,Ryzen 3,13,4.0,DDR4,1024.0,,Windows,32,0,1,0,500,111555
Asus,Intel,i3,11,16.0,DDR3,0.0,2000.0,MacOS,64,6,2,1000,100,170581
Acer,Apple,Ryzen 5,9,4.0,DDR3,128.0,500.0,Linux,64,2,4,1000,0,93082
Dell,AMD,i3,12,4.0,DDR3,128.0,500.0,Linux,32,4,2,5000,50,117676
MSI,Apple,Ryzen 5,11,8.0,DDR3,128.0,2000.0,MacOS,32,0,1,50,20,102055
HP,Apple,M2,10,32.0,DDR3,0.0,1000.0,Windows,32,0,3,5000,500,165678
Dell,Apple,M1,13,4.0,DDR3,128.0,1000.0,Linux,64,6,5,100,0,142082
HP,Apple,i3,12,16.0,DDR4,,2000.0,Linux,64,6,1,0,100,175827
Apple,Intel,Ryzen 3,9,4.0,DDR4,0.0,1000.0,Windows,32,0,2,100,500,75351
Asus,AMD,M1,11,8.0,DDR5,512.0,1000.0,Linux,64,0,3,50,50,104046
Lenovo,Apple,M1,12,32.0,DDR3,512.0,500.0,MacOS,64,0,1,100,500,175912
MSI,AMD,M2,11,16.0,DDR5,128.0,1000.0,MacOS,64,8,2,1000,100,183949
Asus,AMD,Ryzen 5,11,,DDR4,256.0,0.0,Windows,32,0,1,500,10,92164
Dell,AMD,i7,11,4.0,DDR4,512.0,500.0,Windows,64,4,2,0,100,120061
Apple,Apple,i3,9,4.0,DDR3,512.0,0.0,MacOS,64,4,2,0,20,107780
Apple,Intel,i3,12,32.0,DDR3,256.0,2000.0,Windows,32,2,1,1000,100,193255
Apple,Apple,i5,8,8.0,DDR5,1024.0,1000.0,MacOS,64,6,3,5000,0,146323
Dell,AMD,Ryzen 5,8,8.0,DDR4,128.0,0.0,Windows,64,2,1,100,10,94303
Dell,AMD,Ryzen 7,9,32.0,DDR5,1024.0,1000.0,MacOS,32,0,1,0,500,172514
Dell,Intel,i7,9,16.0,DDR5,1024.0,0.0,Linux,64,6,3,5000,500,171302
Dell,Apple,Ryzen 3,13,8.0,DDR5,0.0,500.0,Linux,32,0,1,50,20,99933
Apple,AMD,i5,11,32.0,DDR3,0.0,2000.0,MacOS,64,6,5,50,10,222043
Apple,Intel,M2,12,8.0,DDR4,128.0,0.0,Linux,64,8,5,100,20,162666
HP,AMD,i7,12,32.0,DDR5,256.0,500.0,MacOS,32,8,5,50,500,239682
Asus,Intel,Ryzen 5,10,4.0,DDR4,0.0,2000.0,Windows,32,8,2,500,10,146395
MSI,Intel,i7,10,4.0,DDR4,512.0,0.0,Linux,32,2,4,1000,50,99148
Lenovo,Apple,M2,8,8.0,DDR5,128.0,0.0,Linux,64,6,1,0,100,127259
Apple,AMD,M1,10,8.0,DDR5,1024.0,500.0,Linux,64,2,4,5000,0,123421
Lenovo,Apple,i3,10,4.0,DDR3,128.0,2000.0,MacOS,32,6,5,1000,0,135267
Asus,AMD,M1,8,16.0,DDR4,0.0,2000.0,Linux,32,0,3,100,50,112288
Asus,Apple,i3,13,32.0,DDR5,256.0,500.0,Windows,32,8,5,1000,10,242104
Lenovo,AMD,i5,8,16.0,DDR5,1024.0,1000.0,Linux,64,8,1,0,100,183403
Apple,Apple,M2,10,16.0,DDR4,256.0,500.0,Windows,64,6,4,5000,50,164414
Lenovo,Intel,Ryzen 5,12,16.0,DDR5,128.0,2000.0,Linux,32,2,4,0,10,145972
HP,AMD,Ryzen 5,10,4.0,DDR4,256.0,500.0,Linux,64,2,2,100,100,97697
Acer,AMD,i7,11,8.0,DDR5,256.0,1000.0,Windows,64,4,3,0,10,133794
